,stroke-style-loss,stroke-content-loss,stroke-tv-loss,stroke-curvature-loss
46,11801.788,18.950481
47,11525.315,18.995
48,11259.153,19.044655
49,11001.121,19.101053
50,10750.883,19.163279
51,10509.991,19.228601
52,10279.385,19.29337
53,10058.462,19.354097
54,9845.499,19.408056
55,9639.221,19.454514
56,9439.721,19.494587
57,9247.935,19.531048
58,9064.021,19.567383
59,8887.174,19.606308
60,8716.419,19.649204
61,8551.429,19.695929
62,8392.526,19.744984
63,8239.822,19.79391
64,8093.0034,19.840319
65,7951.4756,19.882416
66,7814.9136,19.919746
67,7683.411,19.953297
68,7557.067,19.984488
69,7435.591,20.014868
70,7318.556,20.045593
71,7205.7427,20.076921
72,7097.112,20.108274
73,6992.7095,20.13879
74,6892.285,20.16719
75,6795.4766,20.193066
76,6702.193,20.216642
77,6612.342,20.238865
78,6525.855,20.260918
79,6442.6055,20.2838
80,6362.3354,20.307734
81,6284.925,20.332455
82,6210.319,20.357037
83,6138.373,20.380453
84,6068.971,20.402115
85,6001.94,20.421658
86,5937.1973,20.439484
87,5874.6455,20.456465
88,5814.2153,20.473455
89,5755.7485,20.490913
90,5699.175,20.508734
91,5644.4077,20.526531
92,5591.38,20.543669
93,5540.009,20.559797
94,5490.187,20.574818
95,5441.886,20.58886
96,5395.066,20.602219
97,5349.6313,20.61544
98,5305.5522,20.628605
99,5262.767,20.64154
100,5221.2036,20.654
101,5180.797,20.665737
102,5141.485,20.676731
103,5103.235,20.687159
104,5066.0044,20.697401
105,5029.7505,20.707838
106,4994.357,20.718561
107,4959.784,20.729406
108,4926.04,20.740025
109,4893.0645,20.75011
110,4860.8335,20.759346
111,4829.3237,20.767902
112,4798.4995,20.776012
113,4768.3394,20.784044
114,4738.813,20.792194
115,4709.9126,20.800394
116,4681.602,20.80842
117,4653.849,20.816132
118,4626.621,20.82334
119,4599.906,20.830065
120,4573.683,20.836626
121,4547.9507,20.843105
122,4522.6694,20.849642
123,4497.813,20.856205
124,4473.3657,20.862543
125,4449.291,20.868513
126,4425.6,20.873985
127,4402.284,20.879047
128,4379.342,20.884045
129,4356.7637,20.889166
130,4334.5464,20.89445
131,4312.662,20.899723
132,4291.1064,20.904781
133,4269.8633,20.909374
134,4248.9287,20.91349
135,4228.2783,20.917356
136,4207.894,20.921223
137,4187.797,20.925207
138,4167.9595,20.929317
139,4148.391,20.933287
140,4129.0835,20.936989
141,4110.02,20.940445
142,4091.2073,20.943861
143,4072.6353,20.947262
144,4054.3032,20.95068
145,4036.1792,20.954102
146,4018.2585,20.95744
147,4000.5388,20.96057
148,3983.0315,20.96342
149,3965.7266,20.966125
150,3948.6145,20.968925
151,3931.6934,20.971819
152,3914.9612,20.974825
153,3898.4126,20.977816
154,3882.0254,20.980618
155,3865.8154,20.983118
156,3849.7844,20.98544
157,3833.927,20.98783
158,3818.2314,20.990509
159,3802.695,20.993433
160,3787.3137,20.996407
161,3772.096,20.999115
162,3757.0388,21.001507
163,3742.1357,21.003561
164,3727.3735,21.005608
165,3712.7527,21.00774
166,3698.2686,21.009892
167,3683.9211,21.01189
168,3669.708,21.013815
169,3655.6355,21.015812
170,3641.6887,21.018093
171,3627.8718,21.020538
172,3614.1807,21.022919
173,3600.614,21.025028
174,3587.1626,21.026846
175,3573.8188,21.028612
176,3560.5889,21.030521
177,3547.479,21.032536
178,3534.4978,21.034542
179,3521.6316,21.036541
180,3508.8843,21.038492
181,3496.2463,21.040348
182,3483.7114,21.042192
183,3471.27,21.044088
184,3458.923,21.045984
185,3446.6746,21.047747
186,3434.5334,21.049255
187,3422.4988,21.050755
188,3410.5676,21.05246
189,3398.73,21.054316
190,3386.9917,21.056057
191,3375.343,21.057638
192,3363.7754,21.059216
193,3352.2947,21.060904
194,3340.8958,21.062672
195,3329.5747,21.064392
196,3318.339,21.066011
197,3307.185,21.067635
198,3296.105,21.069378
199,3285.1106,21.071102
200,3274.1956,21.072811
201,3263.3604,21.074577
202,3252.5981,21.07632
203,3241.9053,21.077919
204,3231.2832,21.07951
205,3220.7268,21.081097
206,3210.24,21.082561
207,3199.823,21.083883
208,3189.4648,21.085255
209,3179.1782,21.086803
210,3168.957,21.088402
211,3158.7983,21.089985
212,3148.7063,21.091446
213,3138.6838,21.092821
214,3128.7366,21.094069
215,3118.8604,21.095266
216,3109.052,21.096472
217,3099.3003,21.097727
218,3089.6094,21.099152
219,3079.9878,21.10078
220,3070.43,21.102404
221,3060.94,21.10386
222,3051.5146,21.105196
223,3042.1465,21.106428
224,3032.841,21.107548
225,3023.5996,21.108625
226,3014.4143,21.109673
227,3005.2834,21.110819
228,2996.2136,21.112122
229,2987.2102,21.1133
230,2978.2668,21.114447
231,2969.379,21.115587
232,2960.5464,21.116604
233,2951.768,21.117481
234,2943.0425,21.118557
235,2934.3665,21.11993
236,2925.743,21.121319
237,2917.172,21.122662
238,2908.6558,21.12394
239,2900.1938,21.125162
240,2891.7827,21.126282
241,2883.4224,21.12722
242,2875.1155,21.128233
243,2866.8562,21.129402
244,2858.6455,21.130695
245,2850.4863,21.131933
246,2842.3733,21.13309
247,2834.3096,21.134237
248,2826.2925,21.135231
249,2818.3135,21.136053
250,2810.3804,21.136932
251,2802.4924,21.138054
252,2794.6484,21.139349
253,2786.8467,21.140568
254,2779.0862,21.141756
255,2771.369,21.14291
256,2763.6926,21.143932
257,2756.0579,21.144917
258,2748.462,21.146004
259,2740.909,21.14737
260,2733.3977,21.148724
261,2725.9282,21.149887
262,2718.4932,21.150894
263,2711.0984,21.152037
264,2703.7437,21.153223
265,2696.4265,21.154194
266,2689.1455,21.154964
267,2681.902,21.156025
268,2674.6973,21.15722
269,2667.531,21.158169
270,2660.4006,21.159128
271,2653.304,21.160366
272,2646.2412,21.161459
273,2639.216,21.162054
274,2632.2312,21.162865
275,2625.2837,21.164207
276,2618.3713,21.16499
277,2611.4968,21.165459
278,2604.6523,21.166561
279,2597.8416,21.167955
280,2591.0652,21.168705
281,2584.3198,21.169449
282,2577.602,21.170761
283,2570.9182,21.171673
284,2564.269,21.171951
285,2557.653,21.172674
286,2551.068,21.173975
287,2544.5127,21.174932
288,2537.988,21.175606
289,2531.496,21.176723
290,2525.0378,21.17783
291,2518.6108,21.178509
292,2512.219,21.179281
293,2505.8562,21.180632
294,2499.5242,21.181553
295,2493.2258,21.182184
296,2486.956,21.18325
297,2480.7163,21.18435
298,2474.5044,21.184893
299,2468.3228,21.185589
300,2462.1665,21.186844
301,2456.0408,21.187876
302,2449.9414,21.188374
303,2443.8699,21.189138
304,2437.8257,21.190428
305,2431.8115,21.191158
306,2425.825,21.191462
307,2419.865,21.192478
308,2413.9329,21.193401
309,2408.0283,21.194103
310,2402.1519,21.194891
311,2396.3003,21.196022
312,2390.473,21.196869
313,2384.6694,21.197407
314,2378.8943,21.198303
315,2373.144,21.199255
316,2367.417,21.199968
317,2361.714,21.200796
318,2356.0376,21.201832
319,2350.3838,21.202663
320,2344.7551,21.203308
321,2339.1533,21.20391
322,2333.5723,21.204601
323,2328.0142,21.2051
324,2322.4783,21.205683
325,2316.965,21.206688
326,2311.4756,21.20758
327,2306.0105,21.208227
328,2300.566,21.209034
329,2295.1401,21.209871
330,2289.7368,21.210472
331,2284.3577,21.21117
332,2279.001,21.211926
333,2273.6692,21.212517
334,2268.3596,21.213173
335,2263.0745,21.213959
336,2257.8083,21.214556
337,2252.5635,21.21529
338,2247.338,21.21631
339,2242.1348,21.217003
340,2236.9534,21.217339
341,2231.7922,21.218256
342,2226.6538,21.219131
343,2221.5369,21.219585
344,2216.4446,21.220535
345,2211.3713,21.22146
346,2206.3167,21.22188
347,2201.284,21.22233
348,2196.2703,21.223248
349,2191.276,21.22394
350,2186.3013,21.224543
351,2181.348,21.225405
352,2176.4165,21.226234
353,2171.5063,21.226818
354,2166.6147,21.227457
355,2161.7405,21.228125
356,2156.883,21.228546
357,2152.0469,21.229176
358,2147.228,21.229877
359,2142.4272,21.230566
360,2137.6445,21.231382
361,2132.8777,21.232113
362,2128.1309,21.232729
363,2123.3997,21.233374
